# Level 2
# - simple solution in 3 moves
# - teaches, that robots block other robots

board:10,12;
h0,0;
h0,3;
h0,9;
h0,12;
h1,0;
h1,3;
h1,9;
h1,11;
h1,12;
h2,0;
h2,5;
h2,12;
h3,0;
h3,5;
h3,10;
h3,11;
h3,12;
h4,0;
h4,5;
h4,7;
h4,12;
h5,0;
h5,2;
h5,5;
h5,7;
h5,8;
h5,11;
h5,12;
h6,0;
h6,0;
h6,8;
h6,9;
h6,10;
h6,12;
h7,0;
h7,1;
h7,2;
h7,5;
h7,7;
h7,8;
h7,10;
h7,12;
h8,0;
h8,10;
h8,12;
h9,0;
h9,0;
h9,6;
h9,12;
v0,0;
v0,1;
v0,2;
v0,3;
v0,4;
v0,5;
v0,6;
v0,7;
v0,8;
v0,9;
v0,10;
v0,11;
v1,11;
v2,2;
v3,1;
v3,4;
v4,5;
v4,6;
v6,5;
v6,6;
v7,1;
v7,9;
v9,2;
v9,3;
v9,6;
v9,8;
v9,9;
v10,0;
v10,1;
v10,2;
v10,3;
v10,4;
v10,5;
v10,6;
v10,7;
v10,8;
v10,9;
v10,10;
v10,11;
ty8,9;
rb0,5;
ry3,5;
rr3,9;
rg7,5;
