# Level 4
# - teaches, that robots are on the path to the target, and that you have to move it away first
# - teaches, that you have more ways to solve it
# - simple solution in 3 moves
board:12,12;
h0,0;
h0,4;
h0,5;
h0,10;
h0,12;
h1,0;
h1,12;
h2,0;
h2,12;
h3,0;
h3,12;
h4,0;
h4,2;
h4,3;
h4,12;
h5,0;
h5,2;
h5,5;
h5,7;
h5,12;
h6,0;
h6,2;
h6,5;
h6,7;
h6,12;
h7,0;
h7,12;
h8,0;
h8,2;
h8,10;
h8,12;
h9,0;
h9,1;
h9,2;
h9,12;
h10,0;
h10,7;
h10,9;
h10,12;
h11,0;
h11,5;
h11,12;
v0,0;
v0,1;
v0,2;
v0,3;
v0,4;
v0,5;
v0,6;
v0,7;
v0,8;
v0,9;
v0,10;
v0,11;
v1,4;
v1,5;
v1,7;
v1,10;
v2,9;
v3,1;
v3,2;
v3,4;
v3,6;
v4,1;
v5,5;
v5,6;
v5,10;
v6,2;
v6,7;
v6,8;
v7,5;
v7,6;
v8,0;
v8,2;
v8,4;
v9,1;
v9,10;
v10,2;
v10,3;
v10,8;
v10,9;
v10,11;
v11,7;
v12,0;
v12,1;
v12,2;
v12,3;
v12,4;
v12,5;
v12,6;
v12,7;
v12,8;
v12,9;
v12,10;
v12,11;
tb9,2;
rb2,3;
rg2,8;
rr2,10;
ry6,3;
