# Level 5:
# - teaches, that you need other robots to prepare the path
# - solution in 3 moves
board:12,12;
h0,0;
h0,2;
h0,4;
h0,12;
h1,0;
h1,4;
h1,9;
h1,11;
h1,12;
h2,0;
h2,0;
h2,2;
h2,3;
h2,4;
h2,7;
h2,8;
h2,11;
h2,12;
h3,0;
h3,5;
h3,9;
h3,12;
h4,0;
h4,11;
h4,12;
h5,0;
h5,5;
h5,7;
h5,12;
h6,0;
h6,2;
h6,5;
h6,7;
h6,11;
h6,12;
h7,0;
h7,2;
h7,11;
h7,12;
h8,0;
h8,2;
h8,5;
h8,12;
h9,0;
h9,3;
h9,12;
h10,0;
h10,11;
h10,12;
h11,0;
h11,12;
v0,0;
v0,1;
v0,2;
v0,3;
v0,4;
v0,5;
v0,6;
v0,7;
v0,8;
v0,9;
v0,10;
v0,11;
v1,2;
v1,4;
v2,6;
v2,7;
v2,11;
v3,1;
v3,4;
v3,10;
v4,11;
v5,5;
v5,6;
v5,7;
v5,8;
v5,9;
v7,5;
v7,6;
v7,11;
v8,1;
v9,2;
v9,5;
v10,4;
v10,9;
v11,0;
v11,2;
v11,8;
v12,0;
v12,1;
v12,2;
v12,3;
v12,4;
v12,5;
v12,6;
v12,7;
v12,8;
v12,9;
v12,10;
v12,11;
tg5,10;
rr5,7;
ry6,0;
rg6,8;
rb10,9;
